scenario,lau0912,hit0912,rate0912,lau0914,hit0914,rate0914,d_lau
1,37,15,0.40540540540540543,53,18,0.33962264150943394,16
2,38,13,0.34210526315789475,60,14,0.23333333333333334,22
3,38,14,0.3684210526315789,54,18,0.3333333333333333,16
4,39,16,0.41025641025641024,58,18,0.3103448275862069,19
5,39,15,0.38461538461538464,60,14,0.23333333333333334,21
6,34,14,0.4117647058823529,59,15,0.2542372881355932,25
7,33,16,0.48484848484848486,61,13,0.21311475409836064,28
8,41,13,0.3170731707317073,59,15,0.2542372881355932,18
9,42,13,0.30952380952380953,60,17,0.2833333333333333,18
10,43,14,0.32558139534883723,60,13,0.21666666666666667,17
11,38,14,0.3684210526315789,54,14,0.25925925925925924,16
12,39,17,0.4358974358974359,55,12,0.21818181818181817,16
13,42,14,0.3333333333333333,60,15,0.25,18
14,44,13,0.29545454545454547,61,13,0.21311475409836064,17
15,55,15,0.2727272727272727,51,15,0.29411764705882354,-4
16,39,17,0.4358974358974359,56,17,0.30357142857142855,17
17,40,18,0.45,52,19,0.36538461538461536,12
18,41,13,0.3170731707317073,57,12,0.21052631578947367,16
19,36,15,0.4166666666666667,57,12,0.21052631578947367,21
20,48,18,0.375,53,20,0.37735849056603776,5
